experiment_label,tolerance,restarts,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,2club200v15p5scn,TERMINATION_REASON_OPTIMAL,680,0.982430488,740.5,-121.22262101315604,-121.24161327451083,7.800842456531714e-5,0.0031592995479760013,0.0010489311689498848,0.0,0.0,2.4059641253393113e-5,0.0005244655844749424,0.0,0.0,1.0000000000000004,9.231925272803176,2.0244226737586515
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,30n20b8,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95040,70.948698105,100002.5,34.67625476937026,-33.82385203204784,0.9856115329022833,0.04646653154107744,0.027234177582960206,0.0,0.0,9.92037439429499e-5,0.0001260841554766676,0.0,0.0,210.40764998369585,986.9039687820735,104.4819305696677
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,academictimetablebig,TERMINATION_REASON_OPTIMAL,3400,53.00941359,3638.5,25.444491438588468,25.439485392988615,9.648538731144254e-5,4.225879305765437e-5,3.973201533380433e-5,0.0,0.0,6.302019355913619e-8,1.1352004381086951e-6,0.0,0.0,29.626097436665063,67.01770940458842,331.29933464189685
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,academictimetablesmall,TERMINATION_REASON_OPTIMAL,3520,7.490467888,3762.5,-8.881784197001252e-15,-9.44127526736338e-5,9.440383973837852e-5,3.5086792521780463e-7,8.41664144490828e-8,0.0,0.0,1.70928394687573e-9,3.1172746092252887e-9,0.0,0.0,11.39256091585147,17.12948582588287,24.172840101363082
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,adult-max5features,TERMINATION_REASON_OPTIMAL,69960,405.708713248,73533.5,0.08131608122425696,0.08120443421006378,9.603874745510979e-5,1.7197408540413675e-7,1.4530641465060334e-7,0.0,0.0,2.8646806481611637e-8,2.4217735775100557e-8,0.0,0.0,0.002303817457952466,0.006511687154544948,0.006666620611240059
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,adult-regularized,TERMINATION_REASON_OPTIMAL,15520,83.948827916,16379.5,0.07768396143515281,0.0775717375860752,9.714199996822199e-5,2.2505484190655755e-10,1.6629071061665434e-11,0.0,0.0,1.9065227426478787e-10,1.6612458603062373e-11,0.0,0.0,0.001000000058855335,0.0013305520928730374,31.013043118603235
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,allcolor58,TERMINATION_REASON_OPTIMAL,1320,8.924834566,1411.5,42.000000011184056,41.99999997512785,4.241906695865687e-10,7.435007317033665e-10,1.9455836941517646e-10,0.0,0.0,2.8171421537301695e-13,1.6213197451264705e-11,0.0,0.0,0.47710758819878046,11.411294986559616,10.000000000003526
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,app1-2,TERMINATION_REASON_OPTIMAL,6680,17.526656966,7285.5,-264.79509736009277,-264.75783306378156,7.023671753435712e-5,0.011373814849091769,0.0012363567604551928,0.0,0.0,9.779497424104421e-5,0.0006181783802275964,0.0,0.0,1.0000000000000036,48.990664719619666,1.3568065261366613
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,atlanta-ip,TERMINATION_REASON_OPTIMAL,13120,24.615357001,14060.5,81.24533812611705,81.22909937215263,9.933512672027176e-5,0.0009882553317272396,0.0004574612146583945,0.0,0.0,2.0180491968459785e-6,1.8173415487779856e-5,0.0,0.0,20.89015500019704,104.01012147372667,268.9929214308813
"tol 1e-4,no restarts,miplib_restarts_100k",1e-4,no restarts,miplib_restarts_100k,bab1,TERMINATION_REASON_OPTIMAL,1840,1.567610187,2035.5,-286911.5331839444,-286967.6984627705,9.78693388077171e-5,0.0024985615802530906,0.0019279673106851192,0.0,0.0,1.438393995122081e-5,0.0001285311540456746,0.0,0.0,45.09999999999993,141.5100044923882,5779.7203078935845
